RespondantID,Sex,BD_Month,BD_Year,Race_Ethnicity,HGA_Dad,HGA_Mom,SampleType,ResponseParent_Income,NonResponseParent_Income,ResponseParent_Relation,Age,Region,FamilyIncome,HighestDegree,MaritalStatus,EmploymentStatus,YearIncome,Arrests_SLI,GeneralHealth,Depression,Breadwinner,Time1_Income
5,1,10,1982,2,12,12,1,52000,27000,2,36,1,NA,2,1,1,127000,NA,2,0,1,79000
8,2,6,1981,4,6,12,1,55000,10104,1,38,NA,100000,5,1,1,60000,NA,2,0,0,65104
34,2,12,1984,4,9,16,1,15000,25000,1,34,1,0,4,0,0,NA,NA,2,1,1,40000
39,1,2,1980,2,NA,NA,1,50000,10000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60000
53,2,4,1984,1,12,12,1,15000,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15003
56,2,2,1982,4,16,18,1,45000,70000,1,37,1,NA,5,1,1,95000,NA,2,0,1,115000
60,1,1,1984,4,NA,14,1,60000,20000,1,35,1,150000,5,0,0,NA,NA,3,0,0,80000
69,2,7,1981,1,12,16,1,29000,32000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,61000
70,1,8,1982,1,12,16,1,29000,32000,1,37,1,190000,4,0,1,100000,NA,1,0,1,61000
104,2,11,1980,4,16,13,1,37970,48040,1,39,1,136000,4,1,1,70000,NA,4,1,1,86010
105,1,8,1983,4,16,13,1,37970,48040,1,36,1,200000,2,1,1,110000,NA,2,0,1,86010
107,2,8,1982,4,19,16,1,190777,256094,1,37,4,260000,5,1,1,125000,NA,2,0,1,446871
108,1,9,1984,4,19,16,1,190777,256094,1,35,2,175000,4,1,1,100000,NA,1,0,1,446871
114,2,7,1982,4,13,12,1,6500,15000,1,37,1,79000,4,1,1,16000,NA,3,0,1,21500
132,1,2,1983,4,16,16,1,42000,45000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,87000
142,2,1,1981,4,14,10,1,9000,40000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49000
143,1,8,1981,1,14,12,1,75000,55000,1,38,3,60000,2,1,0,NA,NA,1,0,0,130000
144,1,8,1982,1,12,16,1,48000,40000,1,37,1,75000,2,0,1,75000,NA,2,1,0,88000
145,1,4,1984,1,12,16,1,48000,40000,1,35,1,130000,4,0,1,130000,NA,3,0,0,88000
158,1,12,1984,2,NA,16,1,70000,30000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100000
159,2,1,1980,2,10,12,1,18000,32000,1,39,1,52500,2,1,1,20000,NA,3,0,1,50000
166,2,9,1982,4,12,13,1,29000,10000,2,37,1,165000,4,1,0,40000,NA,2,0,1,39000
167,1,11,1984,2,12,8,1,42000,55000,1,35,1,NA,2,0,0,NA,NA,4,0,1,97000
171,2,7,1984,2,11,12,1,43000,18000,2,35,1,NA,2,1,1,20000,NA,1,0,1,61000
175,2,10,1981,4,18,16,1,7000,95000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,102000
176,1,9,1982,4,18,13,1,40000,109000,1,37,1,160000,4,1,1,145000,NA,1,0,1,149000
